content_idx,style_idx,shape_label,texture_label,pair,direction,edge_corr,gray_std,sat_frac,closer_to_style,reject_reasons,valid,keep,shape_class,texture_class
459,47,0,6,airplane/horse,A_shape_B_texture,0.524194061756134,0.2557964026927948,0.004264987073838711,True,[],True,True,airplane,horse
282,329,0,6,airplane/horse,A_shape_B_texture,0.40008363127708435,0.2866724729537964,0.001474808668717742,True,[],True,True,airplane,horse
183,173,0,6,airplane/horse,A_shape_B_texture,0.534807026386261,0.17824384570121765,0.008290816098451614,True,[],True,True,airplane,horse
245,203,0,6,airplane/horse,A_shape_B_texture,0.6552257537841797,0.24087387323379517,0.0359933041036129,True,[],True,True,airplane,horse
399,259,0,6,airplane/horse,A_shape_B_texture,0.5147178173065186,0.1922636330127716,0.04940608888864517,True,[],True,True,airplane,horse
460,21,0,6,airplane/horse,A_shape_B_texture,0.7180715203285217,0.2048112452030182,0.03140943869948387,True,[],True,True,airplane,horse
201,428,0,6,airplane/horse,A_shape_B_texture,0.6066552996635437,0.21372361481189728,0.09283322840929031,True,[],True,True,airplane,horse
45,335,0,6,airplane/horse,A_shape_B_texture,0.6226909756660461,0.22195707261562347,0.001494738506153226,True,[],True,True,airplane,horse
482,388,0,6,airplane/horse,A_shape_B_texture,0.7092980146408081,0.17335553467273712,1.992984653043095e-05,True,[],True,True,airplane,horse
293,486,0,6,airplane/horse,A_shape_B_texture,0.6833015084266663,0.20785072445869446,0.000737404334358871,True,[],True,True,airplane,horse
242,123,0,6,airplane/horse,A_shape_B_texture,0.3073533773422241,0.2511548399925232,0.005739795975387096,True,[],True,True,airplane,horse
362,426,0,6,airplane/horse,A_shape_B_texture,0.41034555435180664,0.21531572937965393,0.0726841539144516,True,[],True,True,airplane,horse
474,324,0,6,airplane/horse,A_shape_B_texture,0.37913352251052856,0.24839913845062256,0.024314412847161293,True,[],True,True,airplane,horse
167,464,0,6,airplane/horse,A_shape_B_texture,0.589508593082428,0.18046900629997253,0.0,True,[],True,True,airplane,horse
317,114,0,6,airplane/horse,A_shape_B_texture,0.6523167490959167,0.18822388350963593,0.004125478211790323,True,[],True,True,airplane,horse
264,275,0,6,airplane/horse,A_shape_B_texture,0.5638594627380371,0.1783195436000824,0.01897321455180645,True,[],True,True,airplane,horse
126,473,0,6,airplane/horse,A_shape_B_texture,0.5326131582260132,0.2479443997144699,0.0011360013158991933,True,[],True,True,airplane,horse
199,261,0,6,airplane/horse,A_shape_B_texture,0.5204869508743286,0.16039486229419708,0.001434948993846774,True,[],True,True,airplane,horse
378,112,0,6,airplane/horse,A_shape_B_texture,0.5738580226898193,0.2300613820552826,0.013173628598451614,True,[],True,True,airplane,horse
89,219,0,6,airplane/horse,A_shape_B_texture,0.45026955008506775,0.286937415599823,0.1584024280309677,True,[],True,True,airplane,horse
0,159,0,6,airplane/horse,A_shape_B_texture,0.7413302659988403,0.1377413123846054,0.0,True,[],True,True,airplane,horse
91,353,0,6,airplane/horse,A_shape_B_texture,0.4398283362388611,0.1921912282705307,0.04005899280309677,True,[],True,True,airplane,horse
297,276,0,6,airplane/horse,A_shape_B_texture,0.6975663304328918,0.1972348690032959,0.0005978954141028225,True,[],True,True,airplane,horse
208,381,0,6,airplane/horse,A_shape_B_texture,0.5752377510070801,0.1805264949798584,0.0010961415246129036,True,[],True,True,airplane,horse
462,209,0,6,airplane/horse,A_shape_B_texture,0.5587062835693359,0.3660810887813568,0.2503587305545807,True,[],True,True,airplane,horse
403,295,0,6,airplane/horse,A_shape_B_texture,0.6283485889434814,0.2850571870803833,0.05562420189380646,True,[],True,False,airplane,horse
228,455,0,6,airplane/horse,A_shape_B_texture,0.5072347521781921,0.22331345081329346,0.012954400852322578,True,[],True,False,airplane,horse
417,107,0,6,airplane/horse,A_shape_B_texture,0.5255839824676514,0.22216913104057312,0.009466676972806454,True,[],True,False,airplane,horse
146,325,0,6,airplane/horse,A_shape_B_texture,0.5685048699378967,0.21137619018554688,0.0017538265092298388,True,[],True,False,airplane,horse
54,281,0,6,airplane/horse,A_shape_B_texture,0.5118301510810852,0.19967055320739746,5.9789541410282254e-05,True,[],True,False,airplane,horse
285,352,0,6,airplane/horse,A_shape_B_texture,0.47896280884742737,0.24111923575401306,0.019750477746129036,True,[],True,False,airplane,horse
229,253,0,6,airplane/horse,A_shape_B_texture,0.5958261489868164,0.18031348288059235,3.98596930608619e-05,True,[],True,False,airplane,horse
348,43,0,6,airplane/horse,A_shape_B_texture,0.42150062322616577,0.2801195979118347,0.05179767310619354,True,[],True,False,airplane,horse
384,196,0,6,airplane/horse,A_shape_B_texture,0.7205288410186768,0.2461315244436264,0.054348692297935486,True,[],True,False,airplane,horse
185,255,0,6,airplane/horse,A_shape_B_texture,0.6818282604217529,0.24907542765140533,0.023676658049225807,True,[],True,False,airplane,horse
383,192,0,6,airplane/horse,A_shape_B_texture,0.3715322017669678,0.25192734599113464,0.03876355290412903,True,[],True,False,airplane,horse
181,430,0,6,airplane/horse,A_shape_B_texture,0.7223331332206726,0.26183971762657166,0.00047831633128225803,True,[],True,False,airplane,horse
263,257,0,6,airplane/horse,A_shape_B_texture,0.6075226068496704,0.1320028454065323,0.003447863506153226,True,[],True,False,airplane,horse
15,179,0,6,airplane/horse,A_shape_B_texture,0.7193979620933533,0.13360238075256348,0.0,True,[],True,False,airplane,horse
260,302,0,6,airplane/horse,A_shape_B_texture,0.6432009339332581,0.20173977315425873,0.0010961415246129036,True,[],True,False,airplane,horse
329,403,6,0,airplane/horse,B_shape_A_texture,0.6221451759338379,0.18777982890605927,0.0,True,[],True,True,horse,airplane
276,482,6,0,airplane/horse,B_shape_A_texture,0.6783203482627869,0.13318558037281036,0.026187818497419357,True,[],True,True,horse,airplane
335,181,6,0,airplane/horse,B_shape_A_texture,0.482637494802475,0.27034056186676025,0.0030094068497419357,True,[],True,True,horse,airplane
230,22,6,0,airplane/horse,B_shape_A_texture,0.6394941806793213,0.21536464989185333,0.00249123084358871,True,[],True,True,horse,airplane
353,317,6,0,airplane/horse,B_shape_A_texture,0.46323680877685547,0.15571685135364532,0.0,True,[],True,True,horse,airplane
428,460,6,0,airplane/horse,B_shape_A_texture,0.5585663914680481,0.1853245347738266,1.992984653043095e-05,False,['style_lost'],False,False,horse,airplane
352,393,6,0,airplane/horse,B_shape_A_texture,0.4997251629829407,0.17108218371868134,0.0003388074110262096,True,[],True,True,horse,airplane
302,285,6,0,airplane/horse,B_shape_A_texture,0.7186731696128845,0.15993759036064148,0.0,True,[],True,True,horse,airplane
179,384,6,0,airplane/horse,B_shape_A_texture,0.6497172713279724,0.07526511698961258,0.0,True,[],True,True,horse,airplane
259,387,6,0,airplane/horse,B_shape_A_texture,0.5380637049674988,0.14528311789035797,0.0006576849264092743,True,[],True,True,horse,airplane
209,371,6,0,airplane/horse,B_shape_A_texture,0.5148479342460632,0.2588963210582733,0.0012954400153830647,True,[],True,True,horse,airplane
123,208,6,0,airplane/horse,B_shape_A_texture,0.6946995854377747,0.18677452206611633,0.0,True,[],True,True,horse,airplane
473,101,6,0,airplane/horse,B_shape_A_texture,0.7411942481994629,0.26499372720718384,0.00013950893480796367,False,['style_lost'],False,False,horse,airplane
43,297,6,0,airplane/horse,B_shape_A_texture,0.6075528264045715,0.21512463688850403,0.0,True,[],True,True,horse,airplane
203,348,6,0,airplane/horse,B_shape_A_texture,0.6792089343070984,0.1624116748571396,0.0030891261994838715,True,[],True,True,horse,airplane
281,462,6,0,airplane/horse,B_shape_A_texture,0.6845921277999878,0.23639315366744995,0.0,True,[],True,True,horse,airplane
381,399,6,0,airplane/horse,B_shape_A_texture,0.7433406710624695,0.06882274150848389,0.0,True,[],True,True,horse,airplane
430,167,6,0,airplane/horse,B_shape_A_texture,0.7671353220939636,0.2538440525531769,0.0006178252515383065,True,[],True,True,horse,airplane
388,199,6,0,airplane/horse,B_shape_A_texture,0.5709159970283508,0.23624387383460999,0.004942602012306452,True,[],True,True,horse,airplane
476,454,6,0,airplane/horse,B_shape_A_texture,0.5077953934669495,0.20582281053066254,0.0,True,[],True,True,horse,airplane
486,242,6,0,airplane/horse,B_shape_A_texture,0.7291946411132812,0.27303546667099,0.007513552438467741,True,[],True,True,horse,airplane
47,264,6,0,airplane/horse,B_shape_A_texture,0.5617719292640686,0.14704611897468567,0.0,True,[],True,True,horse,airplane
21,0,6,0,airplane/horse,B_shape_A_texture,0.7000517845153809,0.14231805503368378,0.0,True,[],True,True,horse,airplane
261,54,6,0,airplane/horse,B_shape_A_texture,0.5584439635276794,0.1708657145500183,0.0012755101779475808,True,[],True,True,horse,airplane
303,229,6,0,airplane/horse,B_shape_A_texture,0.6970804333686829,0.26409927010536194,0.000996492337435484,False,['style_lost'],False,False,horse,airplane
339,201,6,0,airplane/horse,B_shape_A_texture,0.5718160271644592,0.22533144056797028,7.97193861217238e-05,True,[],True,True,horse,airplane
112,146,6,0,airplane/horse,B_shape_A_texture,0.6633261442184448,0.131282240152359,0.0,True,[],True,True,horse,airplane
407,263,6,0,airplane/horse,B_shape_A_texture,0.7499894499778748,0.11949238926172256,0.0,True,[],True,True,horse,airplane
196,126,6,0,airplane/horse,B_shape_A_texture,0.7214646339416504,0.20965664088726044,0.0010562818497419357,True,[],True,False,horse,airplane
219,50,6,0,airplane/horse,B_shape_A_texture,0.3702701926231384,0.22535574436187744,0.0,True,[],True,False,horse,airplane
324,91,6,0,airplane/horse,B_shape_A_texture,0.3875773251056671,0.1114373728632927,0.0,True,[],True,False,horse,airplane
426,362,6,0,airplane/horse,B_shape_A_texture,0.5692223310470581,0.1523342728614807,0.0032087054569274187,True,[],True,False,horse,airplane
114,419,6,0,airplane/horse,B_shape_A_texture,0.5105293989181519,0.17034170031547546,0.04195232689380646,True,[],True,False,horse,airplane
107,185,6,0,airplane/horse,B_shape_A_texture,0.5951201319694519,0.14591965079307556,0.00019929847621824592,True,[],True,False,horse,airplane
19,228,6,0,airplane/horse,B_shape_A_texture,0.6450822353363037,0.1565425843000412,7.97193861217238e-05,True,[],True,False,horse,airplane
255,293,6,0,airplane/horse,B_shape_A_texture,0.5431423187255859,0.13171860575675964,0.0,True,[],True,False,horse,airplane
173,260,6,0,airplane/horse,B_shape_A_texture,0.5936293005943298,0.1828346997499466,0.0,True,[],True,False,horse,airplane
192,474,6,0,airplane/horse,B_shape_A_texture,0.4840928912162781,0.12350539118051529,0.0,True,[],True,False,horse,airplane
325,41,6,0,airplane/horse,B_shape_A_texture,0.7189767360687256,0.2697947323322296,0.0,True,[],True,False,horse,airplane
295,282,6,0,airplane/horse,B_shape_A_texture,0.6842353940010071,0.26956623792648315,0.05891262739896774,True,[],True,False,horse,airplane
288,258,1,2,bird/car,A_shape_B_texture,0.6118143200874329,0.19289004802703857,0.0,True,[],True,True,bird,car
479,97,1,2,bird/car,A_shape_B_texture,0.5303630828857422,0.18462686240673065,0.01054288912564516,True,[],True,True,bird,car
493,320,1,2,bird/car,A_shape_B_texture,0.3489927053451538,0.17127126455307007,0.03099091164767742,True,[],True,True,bird,car
380,495,1,2,bird/car,A_shape_B_texture,0.48225921392440796,0.243891179561615,0.05486686900258064,True,[],True,True,bird,car
121,59,1,2,bird/car,A_shape_B_texture,0.5354388952255249,0.15179915726184845,0.0,True,[],True,True,bird,car
147,187,1,2,bird/car,A_shape_B_texture,0.5485222935676575,0.2950481176376343,0.034119896590709686,True,[],True,True,bird,car
443,213,1,2,bird/car,A_shape_B_texture,0.2914983630180359,0.23264531791210175,0.04649633169174194,True,[],True,True,bird,car
359,463,1,2,bird/car,A_shape_B_texture,0.5555508732795715,0.24957804381847382,0.02899792790412903,True,[],True,True,bird,car
338,103,1,2,bird/car,A_shape_B_texture,0.632854700088501,0.2939346432685852,0.1018415167927742,True,[],True,True,bird,car
251,292,1,2,bird/car,A_shape_B_texture,0.5961489677429199,0.25034502148628235,0.036910075694322586,True,[],True,True,bird,car
58,412,1,2,bird/car,A_shape_B_texture,0.4646837115287781,0.2011866718530655,0.030492665246129036,True,[],True,True,bird,car
9,246,1,2,bird/car,A_shape_B_texture,0.5296986699104309,0.31098300218582153,0.14028619229793549,True,[],True,True,bird,car
249,392,1,2,bird/car,A_shape_B_texture,0.7226687073707581,0.24375806748867035,0.001494738506153226,True,[],True,True,bird,car
152,49,1,2,bird/car,A_shape_B_texture,0.5833276510238647,0.21574519574642181,0.0006377550889737904,True,[],True,True,bird,car
